word,com1,com2,lable
گـُل ,شلنگ آب را گرفته بود به باغچه تا گلها را آب دهد .,برای تولدش چند شاخه گل هم خریدم .,entailment
گـُل ,شلنگ آب را گرفته بود به باغچه تا گلها را آب دهد .,گل را در طبقات رسوبی می‌توان به راحتی تشخیص داد,contradiction
گـُل ,شلنگ آب را گرفته بود به باغچه تا گلها را آب دهد .,گاهی در حین رانندگی لاستیک ماشین شما در گل و لای و چاله های جاده های خاکی گیر می افتد و با هر بار گاز دادن متوجه می شوید که ماشین بیشتر در چاله فرو می رود.,contradiction
گـِل,"آبگیرها، باتلاق ها و مناطق گلی با خاک نرم  پس از بارندگی مکان های دردسر سازی هستند",گاهی در حین رانندگی لاستیک ماشین شما در گل و لای و چاله های جاده های خاکی گیر می افتد و با هر بار گاز دادن متوجه می شوید که ماشین بیشتر در چاله فرو می رود.,entailment
گـِل,"آبگیرها، باتلاق ها و مناطق گلی با خاک نرم  پس از بارندگی مکان های دردسر سازی هستند",نحوه کاشت گل در گلدان مانند هر کار دیگری راه و روش خود را دارد و باید برای اینکار به نکاتی توجه کنیم ,contradiction
گـِل,گِل بازی باعث میشود کودکان با طبیعت ارتباط برقرار کنند. ,بذر گل مورد نظر را در گلدان قرار می دهیم و روی آن را به ورمی کمپوست یا همان خاک اولیه پر می کنیم,contradiction
گـِل,"باید به کودکان فرصت داد از راه گِل بازی، مجسمه سازی، کولاژ و نقاشی احساسات و عقاید خویش را بیان نمایند.",گِل بازی باعث میشود کودکان با طبیعت ارتباط برقرار کنند. ,entailment
گـُل ,در نحوه کاشت گل در گلدان می توانیم گل هایی را که برای کاشت در گلدان مناسب ترند انتخاب کنیم.,روش درآوردن ماشین از گل و باتلاق نه تنها نیاز به وسایل کمکی دارد بلکه باید نحوه انجام این روش ها را دانسته و کمی هم خلاقیت داشته باشید.,contradiction
مَشک ,تُلُم زدن یا مشک زدن کاری بسیار سخت و طاقت فرسا است که تو سط زنان انجام می شود . ,مشک از پوست گوسفند یا بز تهیه می شود.,entailment
مَشک ,مشک را در هنگام استفاده با مقداری دود ضد عفونی می کنند و شیر را داخل آن ریخته و آنقدر تکان می دهند تا چربی شیر از آن جدا شود و کره به دست آید .,"از مشک مصنوعی جدا از کاربرد آن در صنعت مراقبت شخصی، برای مصارف پزشکی نیز استفاده می‌شود.",contradiction
مَشک ,این اسانس بویی مانند مشک دارد که تقریبا آروماتیک و چوبی و خاکی است و بویی شیرین و پودری می گیرد.,مشک از پوست گوسفند یا بز تهیه می شود.,contradiction
مُشک,از مشک طبیعی در اواخر قرن نوزدهم به‌طور گسترده‌ای در عطرسازی استفاده می‌شد,"از مشک مصنوعی جدا از کاربرد آن در صنعت مراقبت شخصی، برای مصارف پزشکی نیز استفاده می‌شود.",entailment
مُشک,مُشک دسته‌ای از مواد معطر است.,از مشک طبیعی در اواخر قرن نوزدهم به‌طور گسترده‌ای در عطرسازی استفاده می‌شد,entailment
